Text1,Text2,Class,GroupId,RowInGroup
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least six independent operations personnel.,Conflict,53,15
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,The Aviary shall provide a local surveillance from the air of a location within 20 miles of the origin.,Neutral,53,16
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,"Communication among the flight, operations elements, and platform shall be unencryped",Neutral,53,17
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,The Pilot shall be able to fly the UAV to any location,Neutral,53,18
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,The UAV video stream shall have 720p resolution and frame rate. ,Neutral,53,19
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,"The UAV shall support a stealth mode in which it emits no light during flight, which may be enabled or disabled from the Pilot control.",Neutral,53,20
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,"The UAV shall send real-time altitude-above-deck information to the Pilot to facilitate landing, take off, and object avoidance.",Neutral,53,21
Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,The Pilot shall have real-time heptic feedback from the UAV's camera usable for the purpose of navigation and/or surveillance.,Neutral,53,22
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot location.,Conflict,57,1
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The custom communications network with the UAV shall faciliate pilot communications 50-miles or greater from the pilot's station.,Conflict,57,2
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The custom communications network shall faciliate pilot communications with the UAV up to 50-miles from the pilot's origin.,Conflict,57,3
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall be able to communicate with the custom communications network  within a 50-mile radius of the pilot station.,Conflict,57,4
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall be able to communicate with the UAV  within a 50-mile radius of the pilot station.,Conflict,57,5
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,Conflict,57,6
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The pilot shall communicate with the UAV using a custom communications network capable of communicating within a 50-mile diameter of the pilot station.,Conflict,57,7
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the UAV using standard communications network capable of communicating within a 50-mile radius of the pilot station. ,Conflict,57,8
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the pilot station using custom communications network capable of communicating within a 50-mile radius of the UAV.,Conflict,57,9
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within an 80.46-km radius of the pilot station.,Conflict,57,10
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the UAV using pre-built communications network capable of communicating within a 20-mile radius of the pilot station.,Conflict,57,11
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot can communicate with the UAV using a custom communications network that can establish communication within a 50-mile radius of the pilot station.,Conflict,57,12
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network,Conflict,57,13
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The UAV can be communicated with by the Pilot using custom communications network capable of communicating within a 50-mile radius of the pilot station.,Conflict,57,14
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 100-mile radius of the pilot station.,Conflict,57,15
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The UAV shall be able to fly above an average 90 story building,Neutral,57,16
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot shall rotate the UAV independently from its direction of travel.,Neutral,57,17
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The UAV shall be known as the Bluebird.,Neutral,57,18
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,"The Pilot controller shall be able to define, upload, initiate, follow, and terminate a flight plan to the Hummingbird consisting of a set of way points within Hummingbird's flight range.",Neutral,57,19
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,"The UAV shall maintain attitude (roll, pitch, and yaw) in the presence of moderate to high winds.",Neutral,57,20
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The Pilot controller shall connect/disconnect to at least one Hummingbird in a secure fashion at any time.,Neutral,57,21
The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,The UAV's data transmission shall be secure against unauthorized access.,Neutral,57,22
The aircraft shall be known as the anybird.,The aircraft shall be known as the Hummingbird.,Conflict,68,1
The aircraft shall be known as the anybird.,The UAV shall be known as the Bluebird.,Conflict,68,2
The aircraft shall be known as the anybird.,The UAV shall be known as the Hummingbird.,Conflict,68,3
The aircraft shall be known as the anybird.,The Pilot Controller shall be known as the Hummingbird.,Conflict,68,4
The aircraft shall be known as the anybird.,The UAV shall be known as the Hummingbird.,Conflict,68,5
The aircraft shall be known as the anybird.,The aircraft shall be known as the Hummingbird.,Conflict,68,6
The aircraft shall be known as the anybird.,The aircraft shall not be known as the Hummingbird. ,Conflict,68,7
The aircraft shall be known as the anybird.,The plane will be called the Hummingbird. ,Conflict,68,8
The aircraft shall be known as the anybird.,The aircraft shall be known as the Eagle.,Conflict,68,9
The aircraft shall be known as the anybird.,The UAV is called the Hummingbird.,Conflict,68,10
The aircraft shall be known as the anybird.,The aircraft can be called the Flame Thrower,Conflict,68,11
The aircraft shall be known as the anybird.,The aircraft should be called the Hummingbird,Conflict,68,12
The aircraft shall be known as the anybird.,The aircraft shall be known as the Blackbird.,Conflict,68,13
The aircraft shall be known as the anybird.,This aircraft is called the Hummingbird.,Conflict,68,14
The aircraft shall be known as the anybird.,The aircraft shall be known as the Chicken Hawk.,Conflict,68,15
The aircraft shall be known as the anybird.,The UAV shall be able to autonomously a flight plan consisting of a set of waypoints when outside of its range.,Neutral,68,16
The aircraft shall be known as the anybird.,Any viewer device shall connect to the UAV in a secure fashion.,Neutral,68,17
The aircraft shall be known as the anybird.,The Viewer shall connect only with the custom communication wireless network provided by Aviary.,Neutral,68,18
The aircraft shall be known as the anybird.,A person cabable of lifting 20 lbs shall be able to lift and carry the UAV.,Neutral,68,19
The aircraft shall be known as the anybird.,The Aviary shall provide a remote surveillance from the air of a location within the radius of 20 miles of the origin.,Neutral,68,20
The aircraft shall be known as the anybird.,The UAV shall be able to simultaneously transmit video feed to the Pilot and up to four separate UAV Viewer devices.,Neutral,68,21
The aircraft shall be known as the anybird.,The UAV shall accept commands from any Pilot controller.,Neutral,68,22
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and at most 4 Viewers.,Conflict,84,1
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and at least 4 Viewers.,Conflict,84,2
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and 4 Viewers or less.,Conflict,84,3
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a minimum of at least 4 Viewers.,Conflict,84,4
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and up to  4 Viewers.,Conflict,84,5
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at least 4 Viewers.,Conflict,84,6
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with multiple Viewers.,Conflict,84,7
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller or a maximum of at least 4 Viewers. ,Conflict,84,8
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at least 6 Viewers.,Conflict,84,9
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,"The UAV shall communicate with the Pilot Controller, with 4 Viewers observing.",Conflict,84,10
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at most 4 Viewers.,Conflict,84,11
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall be able to communicate with the Pilot Controller and a maximum of at least 4 Viewers.,Conflict,84,12
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller or a maximum of no more than 4 Viewers.,Conflict,84,13
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of 4 Viewers.,Conflict,84,14
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall communicate with the Pilot Controller and a maximum of at least 6 Viewers.,Conflict,84,15
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall be capable of sending a video feed to the pilot and up to four UAV Viewers.,Neutral,84,16
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,One adult is sufficient to lift the UAV,Neutral,84,17
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall accept commands from an authenticated Pilot controller or a Viewer.,Neutral,84,18
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall only execute commands from an authenticated Pilot controller.,Neutral,84,19
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The Pilot controller shall connect or disconnect to at most one Bird Feeder in a secure fashion at any time. ,Neutral,84,20
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,The UAV shall land automatically when Pilot communication is lost and the estimated flight time remaining is less than 5 minutes.,Neutral,84,21
The UAV shall communicate with the Pilot Controller and more than 4 Viewers.,"The Pilot controller shall detect instances of communication loss and automatically reconnect, if possible.",Neutral,84,22
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as the Bluebird), and up to 4 remote controllers (apps running on smart phones or computers).",Conflict,97,1
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers or tablets).",Conflict,97,2
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",Conflict,97,3
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as the Hummingbird), a power supply, and 4 Viewers (apps running on smart phones or computers). ",Conflict,97,4
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Lover), a UAV (known as thePheasant), and up to 4 Viewers (apps running on smart phones or computers).",Conflict,97,5
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 5 Viewers (apps running on smart phones or computers).",Conflict,97,6
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 2 Viewers (apps running on smart phones or computers).",Conflict,97,7
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 8 Viewers (apps running on smart phones or computers).",Conflict,97,8
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of the Bird Feeder pilot controller, the Hummingbird UAV, and up to 4 smartphone or computer viewing apps.",Duplicate,97,9
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder). ,Duplicate,97,10
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",Duplicate,97,11
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","The Aviary is a system consisting of four elements: a Bird Feeder (pilot controller), the Hummingbird (UAV), and up to 4 Viewers (apps running on devices). ",Duplicate,97,12
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems in which the Bird Feeder, a pilot controller, controls a UAV called the Hummingbird and up to four Viewers observe using smart phones or computers.",Duplicate,97,13
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and at most 4 Viewers (apps running on smart phones or computers).",Duplicate,97,14
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.","TheAviary is a system of systems consisting of a pilot controller, UAV , and <= 4 Viewers.",Duplicate,97,15
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",The Viewer shall not be able to influence the flight or camera functions of the Bird Feeder.,Neutral,97,16
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",The UAV shall be able to return to its final position autonomously upon receiving a command from the Pilot or when a definable event has occurred.,Neutral,97,17
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",The UAV shall be able to autonomously plan a flight consisting of a set of waypoints within its range and flight capabilities.,Neutral,97,18
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",The UAV shall land automatically when Pilot communication is lost and the estimated flight time remaining is less than 5 minutes.,Neutral,97,19
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neutral,97,20
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",The UAV shall be able to autonomously return to its starting position when a definable event has occurred or when receiving a command from the pilot. ,Neutral,97,21
"TheAviary is a system of systems consisting of a pilot controller , a UAV , and up to 4 Viewers.",All Pilot communication with the UAV shall occur with radio.,Neutral,97,22
These are the user requests for the Aviary System of Systems.,These are the client requirements for the Apiary System of Systems.,Conflict,98,1
These are the user requests for the Aviary System of Systems.,These are the System Requirements for the Aviary System of Systems.,Conflict,98,2
These are the user requests for the Aviary System of Systems.,These are the customer requirements for the Aviary System of Systems.,Conflict,98,3
These are the user requests for the Aviary System of Systems.,These are the vendor requirements for the Aviary System of Systems. ,Conflict,98,4
These are the user requests for the Aviary System of Systems.,These are the business requirements for the Aviary System of Systems.,Conflict,98,5
These are the user requests for the Aviary System of Systems.,These are the engineer's requirements for the Aviary System of Systems.,Conflict,98,6
These are the user requests for the Aviary System of Systems.,These are the developer options for the Aviary System of Systems.,Conflict,98,7
These are the user requests for the Aviary System of Systems.,These are the software requirements for the Aviary System of Systems.,Conflict,98,8
These are the user requests for the Aviary System of Systems.,These are the customer requirements for the Aviary System,Duplicate,98,9
These are the user requests for the Aviary System of Systems.,These are the customer requirements for the Aviary System.,Duplicate,98,10
These are the user requests for the Aviary System of Systems.,These are the customer requirements for the Aviary System of Systems.,Duplicate,98,11
These are the user requests for the Aviary System of Systems.,These are the client requirements for the Aviary System of Systems. ,Duplicate,98,12
These are the user requests for the Aviary System of Systems.,The Aviary System of Systems has these requirements.,Duplicate,98,13
These are the user requests for the Aviary System of Systems.,Following are requirements for the Aviary System of Systems,Duplicate,98,14
These are the user requests for the Aviary System of Systems.,These are the consumer guidelines for Aviary.,Duplicate,98,15
These are the user requests for the Aviary System of Systems.,The UAV is capable of automatically planning a flight consisting of a series of waypoints within its range and flight capability.,Neutral,98,16
These are the user requests for the Aviary System of Systems.,All UAV data transmission shall send to only authorized access points.,Neutral,98,17
These are the user requests for the Aviary System of Systems.,Any viewer device shall connect to the UAV in a secure fashion.,Neutral,98,18
These are the user requests for the Aviary System of Systems.,The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neutral,98,19
These are the user requests for the Aviary System of Systems.,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Neutral,98,20
These are the user requests for the Aviary System of Systems.,"The Pilot shall be able to control the UAV camera zoom, aim and focus in real-time.",Neutral,98,21
These are the user requests for the Aviary System of Systems.,"The Pilot controller shall be able to define, upload, initiation, follow and terminate a flight plan to the Hummingbird composed of a set of waypoints within the flying range of the Hummingbird. ",Neutral,98,22
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall remotely monitor from the air locations extending up to 25 miles of the target.,Conflict,99,1
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 Km of the origin.,Conflict,99,2
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Conflict,99,3
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the ground of a location within 20 miles of the origin. ,Conflict,99,4
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the Hummingbird.,Conflict,99,5
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a local surveillance from the air of a location within 20 miles of the origin.,Conflict,99,6
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 200 miles of the origin.,Conflict,99,7
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 miles of the origin.,Conflict,99,8
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 32.19 Km of the origin.,Duplicate,99,9
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,Aviary shall provide remote monitoring of a wide range of locations from the air and from the point of origin.,Duplicate,99,10
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide non-local surveillance from flight to a location within 20 miles of the origin. ,Duplicate,99,11
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,"Within 20 miles of the origin, the Aviary can be used for surveillance.",Duplicate,99,12
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within the radius of 20 miles of the origin.,Duplicate,99,13
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,"The Aviary shall remotely surveil from the air, within 20 miles of the center.",Duplicate,99,14
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Aviary shall support both autonomous missions and direct Pilot flight.,Neutral,99,15
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The UAV shall be able to return to its initial position automatically upon receiving a command from the Pilot or when a definable event occurrs,Neutral,99,16
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,"The UAV Viewer (also known as the ""Viewer"") shall connect to the UAV unencrypted.",Neutral,99,17
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot location.,Neutral,99,18
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,Any UAV data transmission shall be secure against unauthorized access.,Neutral,99,19
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Viewer shall connect with the standard communication wired network provided by the Aviary SoS. ,Neutral,99,20
The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,The Hummingbird shall detect instances of Pilot communication loss and wait for communication to resume and attempt to maintain its position until communication is reestablished.,Neutral,99,21
Remote surveillance should support a mission of up to few hours without a recharge,The Aviary battery shall remain charged up to 180 minutes in the air. ,Conflict,100,1
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance shall support a mission of up to 2 hours without a recharge,Conflict,100,2
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance should support a mission of up to 2 hours without a recharge,Conflict,100,3
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance should support 5 missions of up to 2 hours each without a recharge. ,Conflict,100,4
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance should support a mission of up to 2 hours with a recharge in the middle,Conflict,100,5
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance should support a mission of at least 2 hours without a recharge,Conflict,100,6
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance should support a mission of up to 1 hours with a recharge,Conflict,100,7
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance should support a mission of up to 3 hours without a recharge,Conflict,100,8
Remote surveillance should support a mission of up to few hours without a recharge,The Aviary battery shall remain charged up to 120 minutes in the air. ,Duplicate,100,9
Remote surveillance should support a mission of up to few hours without a recharge,Remote surveillance should support a mission of 2 hours without a recharge,Duplicate,100,10
Remote surveillance should support a mission of up to few hours without a recharge,The remote monitoring should support long duration missions without recharging.,Duplicate,100,11
